trajectory,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_14,sc_15,sc_16,sc_17,sc_19
64,0.012997,0.015874,0.013403,0.020268,-0.002490,0.004363,0.000475,0.008970,0.003104,-0.011050,-0.006911,-0.006738,-0.000492,-0.006812,0.001687,-0.010111,-0.014861,-0.011583
65,0.017957,0.019285,0.018254,0.017321,0.003671,-0.005387,-0.007536,-0.000623,-0.001280,0.001466,-0.003314,-0.002198,0.004068,-0.000166,0.001929,-0.013665,-0.015189,-0.012479
66,0.016426,0.005185,0.011887,0.014554,0.000140,0.002329,-0.001000,0.001581,-0.006813,0.000319,-0.005916,-0.001474,0.004531,0.006338,0.006480,-0.013129,-0.016510,-0.016398
67,0.020453,0.011977,0.009399,0.016034,-0.006587,0.001246,0.000200,-0.004832,0.005171,-0.007179,-0.003302,-0.002054,0.005856,-0.006324,0.007641,-0.018093,-0.008818,-0.012541
68,0.012856,0.010461,0.020121,0.019015,0.008832,0.002108,0.000825,-0.004605,0.002661,0.000238,0.002697,0.002888,0.001815,0.000426,-0.008235,-0.008959,-0.015532,-0.014257
69,0.021337,0.021440,0.016420,0.017073,0.001127,0.009798,-0.002532,0.000578,0.003175,0.001290,0.002745,-0.001751,-0.001223,0.000699,-0.000632,-0.013216,-0.012488,-0.008086
70,0.017856,0.008390,0.014611,0.018459,-0.003361,0.000748,-0.003870,0.000483,0.004112,0.005789,0.003187,-0.001238,0.003343,0.001570,-0.002631,-0.017191,-0.025359,-0.013247
71,0.012846,0.018617,0.018050,0.015859,0.004393,-0.001441,-0.011816,0.000185,-0.002344,-0.001712,0.001976,0.003315,-0.008220,-0.003951,0.001275,-0.009398,-0.015122,-0.010600
72,0.020125,0.019126,0.016358,0.024346,0.001756,-0.002254,0.007074,0.006474,-0.006212,-0.001167,0.008601,0.002710,0.001798,0.000998,-0.010057,-0.009220,-0.017183,-0.017511
73,0.012308,0.020277,0.014178,0.016455,0.001587,0.004871,0.003175,-0.001788,-0.000380,-0.000073,-0.006713,-0.002461,-0.001450,-0.005347,0.002902,-0.012511,-0.007545,-0.021564
74,0.013048,0.008962,0.018490,0.014644,0.005018,-0.006920,0.002739,0.000985,0.000293,0.002670,0.008510,-0.004465,0.009466,0.000558,0.006044,-0.011333,-0.006598,-0.009528
75,0.021030,0.014302,0.018075,0.021878,-0.007127,-0.001491,0.002301,-0.001412,-0.000303,0.000736,0.001353,-0.000313,0.003483,-0.009237,0.004170,-0.017503,-0.014545,-0.008724
76,0.013500,0.017777,0.010862,0.013403,0.001420,0.006122,-0.003920,-0.002172,-0.002932,-0.003718,0.007828,-0.000071,0.001994,0.000112,-0.005206,-0.013378,-0.011224,-0.009044
77,0.017129,0.019061,0.019598,0.019245,0.004103,-0.013045,0.001925,0.004928,0.000927,0.002147,-0.004814,-0.002363,0.001807,-0.002253,0.004464,-0.012503,-0.005730,-0.013922
78,0.025339,0.016984,0.006479,0.014970,-0.005695,-0.004824,0.007526,-0.012700,-0.000539,-0.005298,-0.003142,-0.002161,0.006622,-0.004437,0.000289,-0.017492,-0.011615,-0.018650
79,0.019204,0.016612,0.012124,0.019456,0.007629,0.001592,-0.008517,-0.002933,-0.001573,0.008715,0.002007,0.001545,0.002456,-0.007182,-0.001298,-0.010551,-0.012248,-0.013251
80,0.023424,0.013677,0.016926,0.014571,-0.000272,-0.010728,-0.006868,0.006739,0.003423,0.002059,0.005564,-0.002541,0.008793,-0.000347,0.000964,-0.015630,-0.008521,-0.015499
81,0.013187,0.017597,0.012549,0.009045,-0.001334,0.002199,0.002096,-0.001909,0.001643,-0.001718,-0.001852,0.004236,0.003576,-0.004477,-0.003228,-0.020070,-0.016678,-0.012185
82,0.017121,0.018825,0.015410,0.006670,-0.004258,-0.004925,0.006531,-0.013325,-0.012299,0.002445,0.007836,-0.003247,0.000880,0.001525,0.001214,-0.015089,-0.014936,-0.020240
83,0.015560,0.012541,0.015426,0.017590,0.001240,0.002492,-0.002197,-0.005716,-0.001927,-0.002664,0.005576,-0.002316,0.011897,0.005058,0.002009,-0.022966,-0.012835,-0.018238
84,0.014857,0.012962,0.017766,0.017018,0.007035,0.003399,-0.003283,0.006689,-0.003864,0.000282,-0.002118,0.000949,-0.001531,0.000897,0.002625,-0.014935,-0.013257,-0.014712
85,0.015120,0.014504,0.014910,0.014386,-0.000382,0.011591,-0.000187,-0.008701,-0.001425,-0.005421,0.003623,-0.003717,0.005260,-0.001102,-0.000495,-0.011927,-0.014344,-0.010627
86,0.012480,0.007716,0.015397,0.017407,0.008850,-0.005537,0.001746,-0.002001,0.002883,-0.008697,-0.002697,-0.003564,-0.000620,-0.007296,0.000164,-0.009272,-0.009896,-0.016978
87,0.009079,0.010522,0.014756,0.010507,-0.004963,-0.000737,0.002055,-0.002176,0.000682,0.003837,-0.001677,-0.004501,-0.001799,0.000600,-0.002766,-0.012589,-0.018989,-0.023240
88,0.018432,0.015832,0.009050,0.015261,-0.001359,-0.004175,-0.002525,0.004967,-0.004627,0.002923,0.004404,0.005907,0.003089,-0.001116,-0.005413,-0.013541,-0.017526,-0.011924
89,0.017562,0.013111,0.017859,0.019083,0.004220,-0.000395,-0.003003,-0.003422,0.007552,0.001294,-0.004722,-0.000629,0.001413,-0.003677,0.002695,-0.012864,-0.015515,-0.009120
90,0.010785,0.007551,0.014756,0.011817,0.000589,-0.002103,-0.001537,-0.001629,0.007662,0.004939,0.000689,0.004269,0.006281,-0.001120,-0.003434,-0.018826,-0.016318,-0.015714
91,0.016170,0.013756,0.015462,0.015010,-0.002854,-0.001072,-0.001772,0.006386,0.001413,0.000252,-0.005956,-0.000225,0.000694,0.005835,-0.004882,-0.012461,-0.013681,-0.005829
92,0.012872,0.012093,0.021393,0.012230,0.000997,0.003211,-0.001148,0.001098,-0.001196,-0.007990,-0.002652,0.010368,-0.001863,0.001532,0.008280,-0.012488,-0.016306,-0.010461
93,0.016754,0.017956,0.014160,0.007991,-0.000191,0.005445,0.006081,-0.002478,-0.005896,0.006500,-0.001874,0.004617,0.007665,0.009537,-0.008228,-0.011620,-0.008549,-0.016098
94,0.014937,0.012940,0.019951,0.022092,-0.000000,0.002926,0.001640,-0.002788,0.001875,-0.003520,0.007035,-0.001027,0.008002,0.005059,-0.001872,-0.013258,-0.015832,-0.009554
95,0.015644,0.019958,0.012935,0.020520,0.001203,0.003083,0.003995,0.000850,0.006540,-0.003298,0.002623,-0.001538,0.002562,0.007202,0.003948,-0.009831,-0.013345,-0.004931
96,0.012780,0.017110,0.021354,0.014717,-0.000351,-0.000589,-0.004259,-0.007304,-0.007161,0.000780,-0.002320,-0.003010,0.000502,-0.001799,0.005845,-0.013287,-0.015723,-0.002248
97,0.014675,0.012910,0.014177,0.012944,-0.002245,-0.014859,0.002049,0.002178,0.001518,0.000558,0.000142,-0.001681,-0.002507,-0.010725,0.006248,-0.019480,-0.009702,-0.009956
98,0.013469,0.010887,0.011843,0.010809,0.001832,-0.008333,-0.004609,-0.000427,-0.004608,-0.000654,0.002395,0.002186,0.004714,-0.000053,0.003178,-0.012371,-0.020251,-0.013374
99,0.014865,0.016762,0.016927,0.021087,-0.000783,-0.002819,-0.005690,0.001623,-0.006064,-0.001187,0.001452,-0.005946,0.006381,-0.000999,-0.000942,-0.020290,-0.015318,-0.016510
