trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
12,1000,1,0.019484,0.014070,0.012370,0.008851,-0.009947,-0.006739,0.003687,0.002566,-0.006633,0.002953,-0.001247,0.002013,0.001176,-0.001269,0.000164,0.006973,-0.025757,-0.018900,nan,nan
13,1000,1,0.015925,0.022032,0.018033,0.018938,nan,0.000325,-0.005701,-0.003701,0.012281,0.002820,-0.019184,0.003409,0.005382,0.008699,-0.004659,0.001654,nan,-0.006406,-0.016337,-0.022251
14,1000,1,0.025808,0.013405,0.012446,nan,-0.007453,0.007893,-0.001176,-0.000857,-0.005592,0.000872,0.011964,0.004342,-0.006420,0.008393,0.000266,nan,-0.032960,-0.014238,-0.019781,-0.014748
15,1000,1,0.021092,0.021199,0.014911,0.022627,nan,0.003003,-0.001780,-0.002632,-0.000204,-0.004149,-0.007963,-0.006555,0.000701,0.004875,0.003402,-0.001137,-0.026863,-0.012872,nan,-0.015476
16,1000,1,0.016584,0.020203,0.013423,nan,0.001739,0.002052,-0.005066,-0.004703,0.001092,-0.001941,-0.008739,0.004601,0.009933,0.002452,-0.008414,0.000313,-0.015431,nan,-0.013206,-0.020004
17,1000,1,nan,0.015219,0.023584,0.016149,0.009829,-0.007076,0.007227,0.001291,-0.004670,-0.004160,0.005429,0.002752,0.005762,-0.003978,-0.007481,nan,-0.022632,-0.021151,-0.020075,-0.020665
18,1000,1,0.015038,0.013903,0.011718,0.017672,-0.001221,0.005622,0.001170,-0.004410,nan,-0.004943,-0.004005,-0.004359,0.013144,0.008350,nan,0.011922,-0.016197,-0.017587,-0.010903,-0.022472
19,1000,1,0.022953,0.021209,0.030210,0.015712,-0.008391,0.003876,-0.001932,0.004524,-0.000477,0.005077,-0.011317,0.004955,-0.002333,0.005695,-0.007161,-0.003237,nan,-0.014684,-0.036332,nan
20,1000,1,0.018448,nan,0.022061,0.016712,0.004180,-0.005711,0.003234,-0.007522,0.011697,-0.001970,-0.002032,-0.003431,0.004800,-0.002199,-0.001996,-0.004112,nan,-0.024349,-0.020835,-0.013176
21,1000,1,0.022240,0.011991,0.017543,0.017965,-0.001495,-0.001983,0.007520,-0.003266,nan,-0.004892,-0.004459,0.008235,-0.000831,0.002909,0.001941,0.009125,-0.019019,-0.018237,-0.026799,nan
22,1000,1,0.022716,0.009435,0.019843,0.014711,0.003559,-0.002448,-0.000197,-0.013709,-0.015467,-0.004056,nan,-0.002761,-0.000894,0.004563,-0.007608,0.001885,nan,-0.018432,-0.023832,-0.019452
23,1000,1,0.018748,0.021694,0.016002,0.023189,0.001598,-0.009802,-0.006675,-0.001349,-0.009224,0.013891,0.003900,0.002935,-0.002984,0.004975,0.011781,-0.005115,nan,-0.014813,nan,-0.010083
24,1000,1,0.010259,0.013521,0.025282,0.015608,-0.009182,-0.001282,-0.004758,-0.003690,0.003412,-0.000829,nan,-0.012658,0.001542,-0.003809,nan,-0.010021,-0.021265,-0.033786,-0.021638,-0.018542
25,1000,1,nan,0.018601,0.016756,0.016273,0.002582,0.002902,-0.002855,-0.008928,-0.003109,-0.004832,0.007693,0.004974,0.001223,0.006000,0.008666,-0.005805,nan,-0.028622,-0.018673,-0.018084
26,1000,1,0.020077,0.020722,nan,0.033496,-0.000535,-0.000460,-0.010013,-0.006653,-0.007285,-0.004666,0.004882,-0.007513,0.001355,-0.004607,-0.000082,-0.001505,nan,-0.007819,-0.005227,-0.022498
27,1000,1,0.014652,0.015188,0.027241,0.017889,-0.005392,0.005443,0.000899,0.007297,-0.000962,-0.000712,0.001427,-0.003903,0.005385,0.003211,nan,-0.002957,-0.019187,-0.015363,-0.015545,nan
28,1000,1,0.025803,0.020435,0.014902,0.021839,nan,0.004967,-0.001227,-0.003536,-0.004066,0.004097,0.000786,-0.001529,0.001413,nan,-0.001206,0.001722,-0.021717,-0.016971,-0.037353,-0.011795
29,1000,1,nan,0.021507,0.028472,nan,-0.004365,0.008993,0.003014,0.004604,-0.005866,0.002784,0.009676,0.001570,-0.000475,-0.010768,-0.000332,0.004440,-0.013751,-0.009299,-0.037337,-0.024839
30,1000,1,0.020368,0.022673,0.010940,0.025441,-0.007015,nan,0.004106,-0.005133,0.006558,-0.004678,-0.001420,-0.012253,0.001955,0.001085,0.000098,-0.001993,-0.037301,-0.017017,-0.017625,nan
31,1000,1,0.013288,0.017027,0.018588,0.011444,-0.000817,0.002404,-0.013983,nan,-0.005959,0.001487,nan,0.000781,0.003566,-0.010648,0.002961,0.003142,-0.007873,-0.028926,-0.012293,-0.016824
32,1000,1,0.022318,0.014644,0.006773,0.014816,0.002340,0.024077,0.004074,-0.002287,0.002742,nan,nan,0.001966,0.005234,0.007039,0.000150,-0.006311,-0.011242,-0.016614,-0.015303,-0.021211
33,1000,1,0.012247,0.017026,0.011473,0.015745,-0.004616,nan,0.001724,-0.003998,0.004160,0.002108,-0.001196,0.002344,-0.001441,-0.001789,0.000142,0.004359,-0.020509,-0.021818,nan,-0.013455
34,1000,1,nan,0.017831,0.022450,0.025495,-0.001823,-0.007813,-0.004812,-0.005824,-0.003447,0.003871,nan,-0.011472,-0.000515,0.014386,0.000624,-0.002085,-0.031563,-0.013740,-0.013162,-0.018408
35,1000,1,0.015224,0.013236,0.013554,nan,nan,0.006107,-0.003752,0.006435,-0.002284,-0.002934,-0.000717,-0.000408,-0.001282,0.006286,-0.003681,-0.005704,-0.018998,-0.018754,-0.018542,-0.012386
36,1000,1,0.013722,0.011227,0.028331,0.024833,-0.003086,0.001257,0.008241,-0.006233,-0.009625,-0.004311,-0.009289,-0.004806,nan,nan,-0.007286,-0.009819,-0.018614,-0.020831,-0.011968,-0.013327
37,1000,1,0.016454,0.008755,0.017179,0.040702,-0.004001,0.000217,0.006676,0.002176,0.004227,-0.005661,0.006051,nan,-0.005498,-0.000990,-0.014756,nan,-0.024965,-0.026515,-0.018965,-0.009870
38,1000,1,0.018690,0.020943,0.021444,0.014902,-0.006676,nan,-0.009235,-0.000373,-0.004860,0.001489,-0.000615,-0.002021,0.000126,-0.003719,-0.008844,0.003875,-0.029956,-0.021240,-0.019736,nan
39,1000,1,0.020605,0.014007,0.015564,0.017388,nan,-0.001434,0.002670,-0.003173,-0.005614,0.003291,0.001660,-0.003181,0.000653,0.003415,nan,0.003625,-0.016881,-0.015079,-0.011091,-0.019824
40,1000,1,0.017568,0.016866,0.017776,0.020159,-0.003022,nan,-0.011000,-0.000250,-0.005179,-0.007521,-0.000287,0.003757,0.004135,-0.005878,0.004049,0.006370,-0.017212,-0.033167,nan,-0.020351
41,1000,1,0.012329,0.015772,0.020086,0.016493,-0.002087,0.002328,-0.006543,0.002523,-0.001120,0.002545,-0.006040,-0.002032,-0.009242,nan,-0.002619,0.005951,-0.016161,nan,-0.016616,-0.029840
42,1000,1,nan,0.017390,nan,0.029974,0.003389,-0.006071,0.004846,0.002551,-0.004985,-0.001837,-0.010226,-0.008924,0.001519,-0.002106,-0.003846,0.001914,-0.014919,-0.016751,-0.033029,-0.018662
43,1000,1,0.023690,0.017916,0.016871,0.015278,0.004859,-0.007025,0.005850,0.003096,-0.001807,-0.000295,0.002335,-0.001190,0.000996,0.001704,nan,0.001091,-0.006175,nan,-0.026690,-0.030526
44,1000,1,0.035099,0.024092,0.022036,nan,-0.003160,0.005439,0.006911,-0.005886,-0.000229,-0.000380,0.009204,0.005759,-0.007373,nan,0.009052,-0.000936,-0.019200,-0.021139,-0.006500,-0.016568
45,1000,1,0.016422,0.009084,0.020928,0.017968,-0.003467,-0.009423,-0.005928,0.014866,-0.004002,0.007481,-0.002203,nan,-0.002792,-0.003451,0.012974,-0.000878,-0.013244,-0.011344,-0.011662,nan
46,1000,1,0.018056,0.021117,0.031038,0.015370,-0.004613,-0.001768,-0.000915,-0.003456,-0.004334,0.000348,nan,0.008315,-0.007360,0.005196,0.000930,-0.000990,-0.026443,-0.023218,-0.022159,nan
47,1000,1,0.015059,0.004512,0.022517,0.014699,0.009891,-0.011483,-0.000658,-0.002115,-0.008548,0.008295,-0.006436,0.004221,0.005923,nan,-0.001082,nan,-0.011937,-0.022895,-0.017210,-0.023666
48,1000,1,0.021977,0.015312,0.022179,0.015748,nan,0.004625,0.000913,-0.000483,0.003358,-0.000739,0.002231,0.000194,0.010223,0.009807,nan,0.003830,-0.019522,-0.006945,-0.034831,-0.024005
49,1000,1,0.019063,0.019401,nan,0.017572,0.001622,0.000598,-0.003913,0.004681,0.000624,0.004369,-0.000245,-0.007012,0.004764,-0.009645,0.000067,-0.000543,-0.020126,-0.017974,-0.024097,nan
50,1000,1,0.016363,nan,0.012522,0.013373,nan,-0.001531,0.003322,0.001195,-0.000122,-0.006826,-0.003849,0.000522,0.003018,-0.003496,-0.000957,0.000512,-0.018273,-0.015001,-0.017379,-0.021481
51,1000,1,0.018594,0.018906,0.020969,0.016135,0.008536,0.006266,nan,0.000773,-0.002993,-0.009778,nan,0.001476,-0.003255,0.008071,-0.013759,-0.001768,-0.010704,-0.013566,-0.030124,-0.016144
52,1000,1,0.025536,0.010926,0.024721,0.015068,0.007323,0.003608,nan,nan,0.004869,-0.002699,-0.005457,-0.014328,-0.001413,0.009481,-0.001854,0.003040,-0.019366,-0.016392,-0.015746,-0.012330
53,1000,1,0.021201,0.022537,nan,0.018074,-0.006463,0.002618,0.002294,0.002298,0.007420,-0.000112,-0.008169,0.006393,nan,0.004557,-0.017178,0.000002,-0.023899,-0.021316,-0.010471,-0.019739
54,1000,1,0.017916,0.016190,0.023837,0.023352,0.004665,0.009059,-0.004605,nan,nan,-0.006490,-0.001450,0.002920,-0.005736,0.002443,-0.002157,-0.000045,-0.016372,-0.014394,-0.013141,-0.013515
55,1000,1,0.013616,0.022457,0.013965,0.016827,-0.020274,0.000963,nan,-0.005041,0.008929,0.001105,-0.001228,0.017716,-0.002098,-0.000871,-0.004346,0.006142,-0.017725,-0.013567,-0.012965,nan
56,1000,1,0.010231,0.018773,nan,nan,-0.003276,0.002044,-0.003812,0.000827,-0.002687,-0.002902,-0.002477,-0.001823,-0.006568,-0.005322,-0.005687,0.001327,-0.022999,-0.024417,-0.018468,-0.013813
57,1000,1,nan,0.019643,0.021200,0.015490,-0.002403,-0.002508,-0.002518,-0.000848,0.003864,0.006507,-0.005317,-0.015319,0.002962,0.006801,-0.002257,nan,-0.013470,-0.025645,-0.024495,-0.012376
58,1000,1,0.026034,0.014245,0.025115,0.019562,-0.007415,nan,0.011232,0.002895,0.001463,-0.001880,0.008753,0.000417,-0.000739,-0.001844,-0.007843,0.002738,-0.014307,-0.018000,nan,-0.009968
59,1000,1,0.013557,0.014729,0.029014,0.008816,0.002282,-0.001728,0.007955,0.005633,0.004844,-0.013193,-0.001432,nan,-0.006118,-0.009618,-0.004954,-0.001382,nan,-0.013725,-0.016580,-0.016851
60,1000,1,0.026365,0.013273,0.026892,nan,0.006777,0.003217,0.003120,0.009938,-0.001768,0.000418,-0.009197,-0.001517,nan,-0.002397,0.010701,-0.007414,-0.029721,-0.017831,-0.009709,-0.010113
61,1000,1,0.019617,0.024244,0.005993,nan,-0.002360,0.002920,0.006641,0.005212,-0.004105,-0.001951,-0.003738,0.000411,-0.010974,nan,0.001055,0.000544,-0.012800,-0.024406,-0.015361,-0.018519
62,1000,1,0.025963,0.014431,0.011439,nan,0.009484,0.001378,0.000034,-0.007142,-0.004575,0.006310,-0.005698,0.001068,0.002881,0.000643,nan,0.005032,-0.013225,-0.027467,-0.010330,-0.022116
63,1000,1,0.018292,nan,0.016444,0.016156,-0.015792,0.002856,-0.003836,-0.002367,0.008446,-0.001059,-0.003023,-0.006715,0.008548,0.002955,0.004250,-0.002116,nan,-0.021270,-0.026181,-0.025369
64,1000,1,0.018553,0.010620,0.020761,0.018507,-0.000724,0.008311,-0.003455,nan,0.002365,-0.002434,0.002900,-0.002128,0.005806,-0.001175,0.004229,0.001516,-0.013323,-0.012136,nan,-0.012680
65,1000,1,0.014183,0.018249,0.018402,0.022558,0.002214,0.000855,0.006993,nan,0.003697,-0.000289,-0.000448,-0.004024,-0.003139,-0.001499,-0.003000,nan,-0.016933,-0.016971,-0.022402,-0.020139
66,1000,1,nan,0.017822,0.010316,0.027094,-0.002407,-0.003883,0.004133,0.000063,-0.006313,0.003852,nan,0.006331,0.003948,-0.007571,0.005000,0.004570,-0.015420,-0.020313,-0.015603,-0.028023
67,1000,1,0.010691,nan,0.021068,0.025641,0.011870,-0.007365,0.004817,0.007118,-0.007774,0.000456,0.002932,0.007397,nan,0.002452,-0.001496,0.002434,-0.025979,-0.020171,-0.016472,-0.013485
68,1000,1,0.021261,0.022888,0.003835,0.016318,-0.000112,-0.007702,-0.000184,-0.000357,0.009116,-0.004061,0.008587,-0.002767,0.007607,nan,-0.001330,0.000199,-0.014196,nan,-0.033317,-0.024679
69,1000,1,0.012468,0.020982,nan,0.005110,-0.002659,0.001292,nan,-0.001993,0.002001,0.003882,0.006695,0.004517,0.001945,0.000503,0.001872,0.003357,-0.020578,-0.012878,-0.014169,-0.015990
70,1000,1,0.024854,0.014864,0.014081,0.017614,-0.003426,0.003707,0.008199,nan,-0.008781,-0.007786,-0.003599,-0.003747,0.020470,nan,0.004471,-0.010024,-0.008630,-0.020788,-0.022482,-0.012920
71,1000,1,0.017919,0.014026,0.015975,0.016322,-0.006475,-0.007822,nan,nan,0.005893,-0.011413,-0.002252,-0.004542,0.002774,0.004211,0.006084,0.007652,-0.021231,-0.023366,-0.017848,-0.026942
72,1000,1,0.021672,0.015114,0.024255,nan,nan,-0.007650,0.001940,-0.008261,0.011464,-0.004768,0.000350,0.000894,-0.011282,0.004480,0.005888,0.003446,-0.011175,-0.013457,-0.016004,-0.006997
73,1000,1,0.024562,0.016644,nan,0.021604,-0.006477,-0.000758,-0.009684,0.006130,nan,0.001924,0.000171,-0.003389,0.006095,-0.000949,0.004092,-0.003411,-0.013403,-0.015020,-0.018646,-0.016593
74,1000,1,0.017307,0.023948,0.027694,0.018417,0.003479,0.000576,0.006373,nan,nan,0.001202,-0.003620,-0.001259,-0.002835,0.004691,-0.001639,-0.000342,-0.029215,-0.029147,-0.033603,-0.036037
75,1000,1,0.017071,0.021714,0.025130,0.011760,0.003269,0.012827,-0.000799,nan,0.001870,-0.008932,0.002874,-0.013522,-0.012794,0.000781,-0.002811,nan,-0.019838,-0.022573,-0.017373,-0.024517
76,1000,1,0.020533,0.028492,0.014854,0.019186,0.004413,nan,0.002933,0.001253,-0.003596,-0.003824,-0.007521,-0.000823,-0.000703,-0.003034,0.003444,0.000488,nan,-0.010247,-0.024562,-0.009017
77,1000,1,0.015411,0.020949,0.014279,0.019390,0.003447,0.005881,nan,0.010064,-0.003464,0.010805,-0.007496,-0.001508,-0.002111,-0.003903,-0.007674,nan,-0.019896,-0.007685,-0.025773,-0.004191
78,1000,1,0.018853,0.023249,0.019997,0.017887,0.005530,0.009309,-0.003159,-0.002067,nan,-0.008271,-0.005952,-0.000074,-0.001301,0.007036,-0.002572,-0.008103,nan,-0.013518,-0.023530,-0.014981
79,1000,1,0.012388,0.020436,0.010840,0.013355,0.005438,0.007636,0.007606,0.003337,0.003307,0.024355,-0.010489,0.003987,0.003966,0.016113,-0.000781,-0.001815,nan,-0.016691,nan,-0.013944
80,1000,1,0.012921,0.016754,nan,0.027380,0.000332,0.003005,-0.001397,0.002300,-0.000303,0.007958,-0.005164,0.004291,0.000995,nan,0.001183,-0.002022,-0.021929,-0.025081,-0.020276,-0.030152
81,1000,1,0.012275,0.018477,0.013782,0.020030,0.000413,0.000349,0.003915,0.005586,0.000558,0.000919,-0.002521,-0.004544,0.004439,-0.002380,nan,0.000598,-0.014575,-0.012360,nan,-0.022172
82,1000,1,0.024057,0.023560,nan,0.020791,-0.002640,nan,0.004148,-0.008483,-0.000497,-0.001672,-0.001080,0.006097,0.006399,-0.005493,-0.010494,-0.001922,-0.024689,-0.011030,-0.020532,-0.024170
83,1000,1,0.016414,0.030525,0.015374,0.025523,-0.004023,0.001827,0.001088,0.002434,-0.006172,nan,-0.005436,-0.000905,-0.006598,-0.010115,nan,-0.000610,-0.024241,-0.025006,-0.023315,-0.024325
84,1000,1,0.010891,0.014009,0.019011,0.015388,-0.011978,-0.000042,-0.005387,-0.003706,-0.005318,-0.002503,0.004297,0.002201,0.001792,-0.006256,nan,0.003322,-0.016482,-0.023720,-0.013807,nan
85,1000,1,0.013578,0.023857,0.025775,0.015432,0.003033,-0.011596,0.004020,0.004131,-0.000924,0.003547,nan,0.002708,0.003344,-0.008650,nan,-0.000704,-0.012850,-0.011739,-0.019166,-0.013666
86,1000,1,0.012401,0.016242,0.022006,0.014791,-0.004519,nan,0.009174,-0.000335,-0.003531,nan,-0.005279,0.003037,-0.003358,-0.005503,-0.003821,-0.001903,-0.009494,-0.019426,-0.020144,-0.025299
87,1000,1,nan,0.028720,0.027638,0.014378,-0.000141,-0.001175,-0.001167,-0.000288,-0.000975,-0.000259,-0.001280,0.001714,0.002713,0.000403,-0.007590,-0.003343,nan,-0.025583,-0.038022,-0.016199
88,1000,1,0.011722,0.031009,0.016110,0.022625,-0.003215,0.001260,0.007356,nan,nan,-0.006514,-0.007643,0.009694,0.000531,-0.001094,-0.005005,0.000185,-0.022160,-0.018048,-0.021891,-0.017403
89,1000,1,0.013987,0.019809,0.020348,0.022542,-0.006085,-0.002019,-0.013966,nan,-0.003842,-0.003478,0.000196,0.003890,-0.006629,-0.002023,0.001390,nan,-0.019913,-0.013013,-0.012139,-0.021512
90,1000,1,nan,0.022134,0.023708,0.017934,0.004145,-0.003419,0.004274,0.001535,-0.002544,0.003133,0.003693,0.005111,0.000361,-0.012374,-0.008505,-0.005636,-0.007990,-0.015477,-0.033775,nan
91,1000,1,0.011629,0.014793,0.015145,0.010357,0.003762,-0.006442,0.000716,0.002813,-0.002173,0.005019,-0.014730,0.004536,nan,-0.004495,-0.000885,nan,-0.016569,-0.024656,-0.023821,-0.019550
92,1000,1,0.022440,0.022372,0.022556,0.023548,-0.005554,0.011950,-0.000960,0.002085,0.006823,-0.003822,-0.002026,-0.005502,-0.005736,nan,-0.006586,0.002065,-0.015191,nan,-0.024394,-0.021467
93,1000,1,0.013873,0.021477,0.021302,0.022526,-0.005461,0.008446,-0.002670,nan,-0.011393,-0.002066,0.005404,nan,-0.004922,0.001954,-0.002908,0.001982,-0.019058,-0.013302,-0.024538,-0.019025
94,1000,1,0.019318,0.020921,0.018452,0.013004,-0.001021,-0.000704,-0.003021,nan,-0.007583,-0.001014,-0.004843,0.003197,-0.005608,-0.001449,0.002109,-0.012600,-0.027120,-0.023738,nan,-0.032698
95,1000,1,0.011798,0.016107,0.011140,0.029965,-0.010245,-0.004442,0.006932,-0.001386,0.001880,0.001656,-0.001092,-0.004209,nan,0.001340,nan,-0.006032,-0.010355,-0.018563,-0.007717,-0.010277
96,1000,1,0.012568,0.018501,0.020729,0.011625,0.005196,-0.006093,0.003230,0.007059,0.001164,-0.000559,0.000914,0.003184,-0.006141,-0.011287,-0.010312,-0.000852,nan,nan,-0.016862,-0.000978
97,1000,1,0.015420,nan,0.018557,0.022138,0.011461,0.004845,-0.005528,0.008230,0.006615,nan,0.007425,-0.001899,0.006090,-0.008131,0.011532,0.000176,-0.039352,-0.013131,-0.025859,-0.009222
98,1000,1,0.016156,0.014688,0.023269,0.030873,-0.005349,0.001474,nan,nan,-0.002810,0.002326,0.001205,0.005666,-0.001052,-0.001282,0.006509,0.002207,-0.024570,-0.026900,-0.021012,-0.022350
99,1000,1,0.020271,0.019508,0.022448,0.018544,-0.001426,0.006150,-0.001155,-0.002183,0.002118,nan,nan,0.000072,0.003509,0.002857,0.000693,0.002579,-0.023656,-0.020418,-0.015526,-0.016518
