trajectory,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_14,sc_15,sc_16,sc_17,sc_19
15,0.019702,0.022913,0.009887,0.020089,0.005462,0.001866,0.002758,-0.003026,-0.001403,-0.007210,0.003028,-0.000627,-0.007162,-0.005153,0.001990,-0.021723,-0.018723,-0.017184
16,0.025342,0.017286,0.024607,0.013213,0.004269,-0.007251,0.021037,-0.007469,-0.001982,-0.000416,-0.004765,-0.003596,-0.005037,-0.002876,-0.005819,-0.021940,-0.006067,-0.010010
17,0.017828,0.023271,0.018419,0.016817,0.006995,0.000052,0.003783,-0.011312,-0.009546,-0.004471,-0.011614,0.005553,-0.014592,0.000321,0.013235,-0.008141,-0.020256,-0.020042
18,0.018382,0.025248,0.028032,0.019807,0.003266,-0.001604,0.003307,-0.005988,-0.002472,0.006256,-0.007302,0.006112,0.002461,-0.004486,0.000254,-0.015861,-0.020007,-0.013682
19,0.016612,0.016638,0.020058,0.014008,-0.003658,0.000117,-0.005642,-0.011530,0.001415,-0.001471,-0.000561,0.000419,-0.004311,0.001885,-0.007544,-0.024134,-0.016123,-0.023311
20,0.019103,0.009744,0.013539,0.023597,-0.006711,-0.002246,0.009132,-0.003431,-0.001132,-0.000762,-0.005194,0.003164,0.000147,0.006031,0.002329,-0.032693,-0.023433,-0.026541
21,0.028722,0.025178,0.013887,0.021080,-0.000982,-0.007786,0.005569,0.002650,-0.005554,0.002864,-0.001908,-0.006687,-0.013143,-0.004666,0.005596,-0.016030,-0.001781,-0.011131
22,0.013078,0.026831,0.008862,0.011881,0.000550,-0.000728,-0.001564,0.002239,0.001427,-0.001419,-0.000579,0.005772,0.001534,0.000315,0.003855,-0.012754,-0.021494,-0.015650
23,0.026634,0.007616,0.020058,0.017416,0.002209,0.001361,-0.013351,0.004574,0.004573,-0.003946,-0.007463,0.001716,-0.000356,-0.006062,0.002344,-0.024876,-0.007562,-0.011511
24,0.020169,0.011487,0.021033,0.018864,-0.008693,0.001172,0.001502,-0.006987,-0.004384,-0.010190,-0.000458,0.000641,0.009858,-0.001908,0.007715,-0.022917,-0.023107,-0.018328
25,0.023761,0.023308,0.017277,0.025910,-0.007361,0.001340,0.003962,0.001477,-0.003826,-0.000754,0.001884,-0.011067,-0.014657,-0.000106,-0.017639,-0.015173,-0.037407,-0.010040
26,0.022411,0.023535,0.014963,0.018609,0.002086,-0.006046,-0.000540,-0.004907,-0.010766,0.005938,0.003423,-0.000683,-0.008960,0.004768,-0.008851,-0.016747,-0.010421,-0.026486
27,0.013745,0.017150,0.024676,0.003277,-0.003754,-0.004759,-0.008725,0.008175,0.001537,0.004661,0.006513,-0.012073,0.000288,-0.011305,-0.009343,-0.023207,-0.016268,-0.023160
28,0.012232,0.022806,0.012821,0.018321,0.008772,0.003211,0.001642,0.001269,0.003826,-0.000994,-0.002952,0.007180,0.002444,-0.002370,0.000358,-0.023832,-0.020374,-0.024082
29,0.015783,0.016812,0.008872,0.021671,-0.017808,0.006884,0.001506,-0.002272,0.002732,0.000771,-0.001138,0.012259,0.008028,-0.009453,-0.009631,-0.018769,-0.011168,-0.019045
30,0.013775,0.021994,0.012631,0.018714,0.000586,0.011844,0.004229,0.006995,0.011794,-0.000316,-0.000075,0.004385,0.002351,-0.006677,0.010796,-0.007286,-0.016120,-0.025764
31,0.020715,0.012518,0.021493,0.021408,-0.002021,-0.004334,0.004848,-0.015914,-0.003364,0.003497,0.000492,-0.007309,-0.003292,-0.002740,-0.002613,-0.035986,-0.011858,-0.026393
32,0.017097,0.014323,0.033343,0.031113,0.001973,0.003433,0.000360,-0.009470,-0.005091,-0.001582,-0.001626,0.002412,0.004866,-0.003913,0.005975,-0.017456,-0.024569,-0.026984
33,0.021150,0.023478,0.018252,0.010260,-0.002483,-0.004036,-0.005700,0.007822,0.000988,-0.001733,0.000123,0.000855,0.007134,-0.004884,0.003333,-0.019282,-0.016419,-0.014556
34,0.013818,0.017054,0.019927,0.015186,-0.000559,0.001243,-0.001072,0.002762,-0.005732,0.002308,-0.002044,0.008809,-0.004944,-0.008886,0.002997,-0.018962,-0.018884,-0.018706
35,0.016277,0.023218,0.021417,0.020568,-0.001182,0.000065,-0.007428,0.009004,-0.003216,-0.001534,-0.002302,0.006925,0.007915,-0.001148,0.009051,-0.024909,-0.013954,-0.028765
36,0.026327,0.017321,0.017429,0.019642,0.001957,-0.017059,0.005862,-0.007938,-0.001745,0.004213,0.004246,0.003410,0.004616,-0.007474,0.011006,-0.030871,-0.018039,-0.018978
37,0.012712,0.016492,0.019119,0.025956,-0.003834,-0.004684,-0.008044,-0.002200,0.000054,-0.000260,-0.002395,0.001079,0.007375,0.005882,-0.009181,-0.051005,-0.024479,-0.024278
38,0.024429,0.026645,0.018165,0.015684,-0.003905,-0.006773,0.004014,-0.007207,-0.005963,0.000282,-0.002037,-0.001448,0.001253,0.000856,-0.005301,-0.018987,-0.026155,-0.029603
39,0.015302,0.019925,0.012552,0.019435,-0.011572,-0.001788,-0.008535,0.001880,0.001338,0.002373,0.011977,0.004207,-0.004819,-0.003116,-0.004681,-0.013175,-0.009256,-0.011453
40,0.024055,0.024949,0.015186,0.017010,0.004274,0.002454,-0.000972,-0.003509,-0.018709,0.004218,-0.013668,-0.002889,-0.006175,-0.008010,-0.005114,-0.011863,-0.007323,-0.019567
41,0.027491,0.031403,0.018631,0.020871,-0.003450,-0.001753,0.005978,-0.007388,-0.001535,0.001733,-0.002230,-0.000330,-0.002913,-0.005068,-0.001064,-0.012061,-0.014187,-0.011201
42,0.025459,0.012141,0.016682,0.019246,0.002153,-0.005958,-0.008115,-0.014441,0.001835,-0.000733,-0.002160,-0.008481,0.001399,-0.005943,0.003419,-0.015278,-0.017511,-0.017593
43,0.017339,0.020185,0.020137,0.020033,0.004348,0.004285,0.002876,-0.001207,0.001219,-0.012000,-0.002476,0.005550,0.017491,0.006908,0.000488,-0.031821,-0.024235,-0.026198
44,0.018354,0.016546,0.019570,0.018733,-0.007957,-0.004229,0.018418,-0.001007,-0.000824,-0.003888,-0.003138,0.006403,0.012788,-0.005388,-0.005693,-0.007357,-0.008423,-0.011419
45,0.017862,0.016761,0.005461,0.021854,-0.007959,-0.000356,-0.000549,0.005233,-0.004135,0.003271,0.008890,-0.006181,0.017820,0.001074,0.003902,-0.016320,-0.021129,-0.017228
46,0.016701,0.027538,0.008628,0.036092,-0.000994,0.005083,0.009213,-0.007916,-0.000720,0.001583,0.002128,-0.001076,-0.012561,0.013866,0.006707,-0.023817,-0.019655,-0.011977
47,0.018198,0.014929,0.011997,0.016206,-0.010635,-0.001591,-0.000822,-0.001079,0.000461,0.006806,0.005453,-0.007459,-0.002954,-0.000897,0.000946,-0.017517,-0.014354,-0.017110
48,0.023602,0.018235,0.013334,0.014397,0.001689,0.003138,0.007262,-0.004213,-0.007571,-0.006461,0.000988,-0.005793,0.006667,-0.004556,0.006302,-0.019364,-0.020584,-0.019394
49,0.010598,0.016788,0.012081,0.014176,0.000390,0.004540,-0.007866,0.003095,-0.002352,-0.001742,-0.001284,-0.010939,0.004006,0.001498,0.007056,-0.016384,-0.024179,-0.010534
50,0.010847,0.017625,0.023884,0.011552,-0.001031,-0.005687,0.000928,-0.008595,-0.003403,-0.007555,-0.004735,-0.008491,0.002274,-0.007445,-0.000810,-0.018475,-0.013841,-0.021095
51,0.017346,0.018291,0.013757,0.028016,0.003280,0.000531,0.006235,-0.004854,0.000456,0.002836,-0.003844,-0.002062,0.002125,0.002521,0.001038,-0.017806,-0.022589,-0.006330
52,0.017158,0.014678,0.020580,0.026155,-0.002148,-0.001743,0.004457,0.005772,0.001994,0.004900,-0.002152,0.000597,0.000565,-0.001111,-0.004490,-0.020102,-0.016196,-0.020416
53,0.027136,0.024975,0.013424,0.016956,-0.004584,0.006041,0.006327,-0.010733,-0.004986,0.008668,-0.010715,0.004277,0.003293,-0.002760,-0.004090,-0.012974,-0.024402,-0.024504
54,0.019937,0.019273,0.007943,0.022682,0.006031,0.001182,-0.010140,0.000919,-0.011185,-0.000930,0.000340,0.002851,0.002762,-0.003582,0.000415,-0.014970,-0.017803,-0.028695
55,0.015748,0.015702,0.018051,0.022342,-0.002030,0.002816,-0.009085,-0.002553,0.003259,-0.002188,-0.003917,0.001102,0.001948,0.003223,-0.013424,-0.013826,-0.021383,-0.005945
56,0.018817,0.015458,0.006379,0.010248,-0.007835,-0.004791,-0.005955,0.004386,-0.014127,-0.004361,0.005335,-0.002402,0.001452,-0.002181,-0.000324,-0.012845,-0.019355,-0.027693
57,0.034849,0.016436,0.020787,0.028359,-0.002519,-0.001731,-0.001398,0.002881,0.001639,-0.000239,-0.007116,-0.002737,0.000079,-0.005417,0.006625,-0.018600,-0.025866,-0.020467
58,0.021479,0.024013,0.013997,0.021394,0.003083,0.000158,-0.007164,0.006363,-0.002480,0.006962,-0.002036,0.006295,0.005544,-0.001473,-0.000511,-0.018190,-0.023255,-0.022387
59,0.016410,0.026547,0.012907,0.022417,-0.000517,-0.005044,-0.000922,0.007925,-0.010904,-0.002019,-0.001915,0.003804,0.000865,-0.014103,0.001684,-0.025542,-0.018357,-0.001348
60,0.019394,0.034005,0.013897,0.009144,-0.008806,-0.006165,-0.003148,-0.000357,-0.009053,0.001429,-0.000253,-0.000629,0.003680,-0.001784,0.003484,-0.014742,-0.020150,-0.017949
61,0.016428,0.018857,0.027932,0.012639,0.005449,-0.008067,-0.002276,-0.002571,-0.009796,0.004333,-0.000824,-0.000941,0.014146,-0.012288,-0.000640,-0.023551,-0.026942,-0.009272
62,0.017206,0.013406,0.013995,0.021974,0.007068,0.001420,0.001231,-0.001507,0.003047,0.011573,0.000854,-0.000409,-0.003314,0.003800,0.002442,-0.016820,-0.033590,-0.024038
63,0.015336,0.019568,0.012938,0.014544,0.003104,0.002586,-0.003484,0.006863,0.007506,0.000314,-0.001996,-0.003741,-0.006087,-0.005081,-0.004617,-0.023410,-0.045065,-0.019880
64,0.015828,0.020323,0.015203,0.025543,-0.002069,0.005403,0.001558,0.010427,0.005145,-0.013812,-0.008635,-0.008543,-0.002061,-0.008199,0.000836,-0.015651,-0.021943,-0.014017
65,0.023057,0.025691,0.023165,0.023315,0.004758,-0.007397,-0.009883,-0.001625,-0.002652,0.004685,-0.002774,-0.002291,0.003503,-0.000045,0.003441,-0.017396,-0.020378,-0.016865
66,0.019842,0.004661,0.014624,0.018588,0.000890,0.001310,-0.000731,0.002498,-0.007744,-0.000839,-0.007221,-0.001605,0.002829,0.008794,0.009154,-0.018745,-0.024642,-0.022376
67,0.026125,0.013773,0.011705,0.019122,-0.008522,0.000101,0.000393,-0.006007,0.006283,-0.009102,-0.003877,-0.002168,0.004673,-0.007950,0.007749,-0.023431,-0.011305,-0.017824
68,0.017773,0.011740,0.024432,0.022074,0.011340,0.003363,0.001282,-0.004820,0.002267,0.000463,0.003075,0.003214,-0.005339,0.000180,-0.010722,-0.012954,-0.023082,-0.022251
69,0.026574,0.030528,0.021724,0.020077,0.001548,0.012961,-0.003387,0.000728,0.004871,0.004173,0.004557,0.000819,-0.004283,0.001346,-0.000417,-0.019058,-0.017749,-0.010114
70,0.021097,0.009670,0.017667,0.022336,-0.002588,-0.000242,-0.003236,0.000129,0.006016,0.007670,0.003022,-0.001095,0.001398,0.000371,-0.003735,-0.025759,-0.047336,-0.017798
71,0.015845,0.022718,0.021898,0.018533,0.006239,-0.000005,-0.013910,0.000858,-0.003280,-0.001887,0.002860,0.005858,-0.009906,-0.003598,-0.004805,-0.012804,-0.023383,-0.013323
72,0.025796,0.024555,0.020603,0.032664,0.002697,-0.002250,0.007758,0.005826,-0.008850,-0.001645,0.011122,0.003128,-0.005334,0.002832,-0.014906,-0.010262,-0.022654,-0.026567
73,0.013544,0.025138,0.019469,0.020462,0.003726,0.006556,0.003903,-0.002120,0.000595,0.000040,-0.007429,-0.001676,-0.003285,-0.005113,0.002126,-0.016291,-0.010095,-0.033566
74,0.016086,0.010904,0.022143,0.017419,0.005608,-0.008669,0.003099,0.001051,0.002508,0.004151,0.012272,-0.005171,0.014078,0.001000,0.008982,-0.015500,-0.009511,-0.012122
75,0.026012,0.016589,0.022584,0.028403,-0.007833,-0.001030,0.002592,-0.001333,-0.001146,0.001171,0.001586,0.000418,0.004370,-0.012438,0.004520,-0.023213,-0.019519,-0.011041
76,0.015994,0.021295,0.014114,0.015677,0.002253,0.005341,-0.003995,-0.003130,-0.004269,-0.004216,0.008157,0.000463,-0.001882,0.000012,-0.006069,-0.017127,-0.014911,-0.011857
77,0.022728,0.024231,0.026546,0.023670,0.005766,-0.017272,0.004065,0.006636,-0.000574,0.002273,-0.005338,-0.003494,0.002345,-0.001860,0.002084,-0.016822,-0.007679,-0.018496
78,0.034467,0.020379,0.009071,0.017015,-0.006143,-0.006989,0.008806,-0.017796,-0.000549,-0.007593,-0.005535,-0.002344,0.007713,-0.006185,-0.002830,-0.026525,-0.016498,-0.029269
79,0.023337,0.021635,0.012401,0.023457,0.009307,0.002180,-0.010460,-0.003655,-0.001240,0.009554,0.001931,0.001902,0.002032,-0.007341,-0.005717,-0.015184,-0.016755,-0.017967
80,0.028508,0.015907,0.019756,0.017407,0.000595,-0.015081,-0.008454,0.007237,0.004210,0.002004,0.006512,-0.003478,0.012104,-0.000028,0.002525,-0.023862,-0.010169,-0.022895
81,0.015436,0.020506,0.016286,0.011385,-0.001397,0.002786,0.002659,-0.002063,0.001445,-0.001707,-0.002035,0.004421,0.002016,-0.005204,-0.003904,-0.032802,-0.021649,-0.017120
82,0.023038,0.024689,0.018723,0.007526,-0.004763,-0.005862,0.008786,-0.017852,-0.016496,0.002685,0.008711,-0.004177,0.000948,0.000665,-0.000856,-0.019544,-0.019601,-0.031697
83,0.018478,0.014272,0.019524,0.022242,0.001518,0.002925,-0.002717,-0.006443,-0.000340,-0.003740,0.006557,-0.002322,0.022382,0.005405,0.003880,-0.034718,-0.016291,-0.027623
84,0.017793,0.017684,0.021153,0.021463,0.007650,0.004123,-0.002946,0.008064,-0.002713,0.001637,-0.001799,0.000636,-0.005839,0.000487,0.001789,-0.021699,-0.018203,-0.019950
85,0.017856,0.019027,0.019272,0.017956,0.000715,0.013600,-0.000529,-0.011087,-0.002029,-0.004502,0.004377,-0.003811,0.003608,-0.000748,-0.001110,-0.016066,-0.020810,-0.012975
86,0.016391,0.009573,0.018608,0.020849,0.009717,-0.006884,0.001934,-0.001375,0.001879,-0.010174,-0.003630,-0.003455,-0.000359,-0.009287,-0.003466,-0.011521,-0.012894,-0.021347
87,0.010695,0.012156,0.017944,0.012154,-0.007117,-0.001683,0.001587,-0.002278,0.001301,0.003201,-0.001418,-0.006292,-0.001095,0.001067,-0.004471,-0.014927,-0.031957,-0.034369
88,0.022664,0.019089,0.010786,0.019172,-0.001181,-0.005189,-0.003482,0.005934,-0.004378,0.002900,0.005681,0.005853,0.001324,-0.000962,-0.007868,-0.017114,-0.025943,-0.016734
89,0.021953,0.017114,0.022173,0.025530,0.002877,-0.000591,-0.001973,-0.004035,0.010369,0.002175,-0.005270,-0.001629,0.001351,-0.003781,0.002362,-0.015172,-0.019134,-0.011047
90,0.012854,0.008555,0.019198,0.013844,0.000809,-0.001604,-0.002744,-0.001940,0.009666,0.003508,0.001155,0.004971,0.003787,-0.000870,-0.005132,-0.024125,-0.023173,-0.021554
91,0.021889,0.015829,0.019945,0.017237,-0.002570,-0.000153,-0.002915,0.008023,0.002388,0.000330,-0.006373,0.000615,-0.001020,0.007731,-0.005290,-0.017509,-0.019231,-0.007207
92,0.014387,0.014885,0.025386,0.015005,0.003107,0.003338,-0.002033,0.001931,-0.000846,-0.010540,-0.004496,0.012427,-0.002372,0.000949,0.008907,-0.015522,-0.021289,-0.013826
93,0.023299,0.022075,0.016679,0.010381,0.000237,0.005981,0.007255,-0.003189,-0.006944,0.006512,-0.002701,0.005491,0.008672,0.012681,-0.010451,-0.016251,-0.011781,-0.024176
94,0.018225,0.015198,0.024558,0.032520,-0.000964,-0.000000,0.000330,-0.004785,0.003083,-0.003742,0.007055,-0.000262,0.018926,0.005242,-0.001403,-0.016049,-0.024402,-0.010822
95,0.018079,0.024876,0.016659,0.025858,-0.000283,0.004714,0.004031,0.001416,0.008679,-0.002943,0.003075,-0.001098,0.002458,0.008872,0.003685,-0.012101,-0.020400,-0.005488
96,0.016237,0.024209,0.026437,0.018847,0.001151,0.000339,-0.004268,-0.008453,-0.008207,-0.000093,-0.002728,-0.005413,-0.000410,-0.001349,0.006606,-0.017146,-0.020733,-0.002196
97,0.018424,0.014633,0.016172,0.015087,-0.002890,-0.021946,0.001980,0.002302,-0.000326,0.000473,-0.000367,-0.002435,-0.003720,-0.013944,0.005093,-0.027118,-0.012856,-0.013716
98,0.017774,0.013452,0.014976,0.012801,0.002546,-0.011486,-0.005653,-0.000082,-0.006556,-0.002128,0.002130,0.004243,0.005235,0.001212,0.001889,-0.015759,-0.029750,-0.016437
99,0.018065,0.021943,0.020468,0.028245,0.000370,-0.002536,-0.005224,0.001031,-0.007259,-0.000142,0.002289,-0.006587,0.005734,-0.000964,-0.003165,-0.030055,-0.019414,-0.022888
