trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
34,1000,1,nan,0.022329,0.023882,0.014043,-0.002082,0.004974,0.001615,-0.002662,0.000903,0.000256,nan,-0.008499,0.003079,-0.002236,0.001662,0.002896,-0.019369,-0.021835,-0.023612,-0.015540
35,1000,1,0.016509,0.014404,0.017936,nan,nan,-0.007137,0.002012,-0.000747,0.003671,-0.001659,0.004053,-0.010296,0.001332,-0.006887,0.001590,0.001494,-0.011764,-0.015582,-0.022251,-0.013154
36,1000,1,0.015648,0.015802,0.014266,0.016986,0.003876,0.003685,0.001703,-0.002276,-0.002195,-0.000231,-0.002674,0.002647,nan,nan,0.000127,0.001551,-0.013175,-0.016562,-0.019733,-0.021681
37,1000,1,0.015856,0.011182,0.034018,0.015984,0.000540,-0.004558,0.000477,-0.003746,0.002302,0.007089,-0.002273,nan,-0.003201,-0.005030,-0.000886,nan,-0.019080,-0.013839,-0.012364,-0.008305
38,1000,1,0.016700,0.017123,0.013445,0.015290,0.001977,nan,0.000466,0.003176,-0.003161,-0.001883,-0.004764,-0.000216,-0.003386,0.001198,0.000967,0.003731,-0.015800,-0.016307,-0.021809,nan
39,1000,1,0.024309,0.013755,0.015180,0.017361,nan,0.001378,0.000881,-0.000052,-0.001315,0.006945,-0.002197,0.000224,0.000395,-0.002541,nan,0.003391,-0.017976,-0.020781,-0.014231,-0.022451
40,1000,1,0.018946,0.013729,0.020759,0.024703,-0.000281,nan,0.002135,-0.000057,-0.005177,-0.004202,-0.006234,-0.000399,-0.007441,-0.002678,-0.000778,0.000359,-0.019582,-0.013088,nan,-0.026365
41,1000,1,0.020172,0.014671,0.018911,0.015827,0.001015,-0.000629,0.003674,-0.004891,-0.000868,-0.000392,-0.002045,-0.001158,-0.006129,nan,-0.000880,0.001535,-0.014339,nan,-0.021355,-0.017775
42,1000,1,nan,0.016117,nan,0.017122,0.003677,-0.005204,-0.003150,-0.003608,0.002807,-0.005941,-0.000465,-0.002355,0.000730,0.000786,-0.007238,-0.004187,-0.016035,-0.016851,-0.013113,-0.024453
43,1000,1,0.014723,0.015543,0.022816,0.010886,0.003522,0.002128,-0.000922,0.002295,-0.005820,0.000395,0.000778,-0.000160,0.002603,-0.004752,nan,-0.004118,-0.016531,nan,-0.015022,-0.020588
44,1000,1,0.024989,0.018425,0.018203,nan,0.004507,0.000932,-0.000285,0.001673,-0.006829,0.000260,0.002633,-0.003322,-0.003110,nan,-0.001433,-0.005651,-0.014115,-0.012875,-0.021050,-0.016788
45,1000,1,0.012035,0.014486,0.022415,0.017629,-0.001116,-0.001856,-0.001417,-0.001669,-0.002183,-0.000091,-0.001639,nan,-0.005472,0.000525,-0.002821,-0.003571,-0.011417,-0.015243,-0.017589,nan
46,1000,1,0.016843,0.015926,0.022547,0.018089,-0.002360,-0.003259,-0.004432,0.003355,0.002023,0.002329,nan,0.002002,0.000350,0.000972,-0.001714,-0.003537,-0.017093,-0.017106,-0.022963,nan
47,1000,1,0.020205,0.013379,0.017338,0.014971,-0.002897,-0.001567,-0.003471,-0.002296,0.000728,-0.000332,0.005046,-0.001589,-0.001194,nan,-0.000539,nan,-0.012995,-0.014386,-0.018317,-0.018467
48,1000,1,0.018225,0.021604,0.013574,0.016399,nan,0.001692,0.000778,-0.001678,-0.004618,0.001484,-0.003955,0.001047,-0.000800,0.005112,nan,-0.007508,-0.016841,-0.026062,-0.010182,-0.015251
49,1000,1,0.026929,0.011163,nan,0.019802,0.001550,0.009919,0.000075,-0.007925,0.000194,-0.001062,0.000014,-0.002051,-0.004634,0.006930,0.002184,0.000749,-0.027834,-0.019898,-0.024241,nan
50,1000,1,0.021176,nan,0.014697,0.019216,nan,0.002957,-0.000759,-0.004787,-0.006770,0.000037,0.000183,0.000066,-0.000747,0.000656,-0.008823,-0.004326,-0.014028,-0.024205,-0.011791,-0.019261
51,1000,1,0.015185,0.016163,0.018678,0.010707,-0.001157,-0.005793,nan,0.005740,-0.000438,-0.000193,nan,0.001866,-0.003802,0.002511,0.003552,0.002235,-0.020702,-0.013660,-0.019507,-0.016478
52,1000,1,0.020209,0.028655,0.020914,0.019792,-0.004394,0.000831,nan,nan,0.000924,0.005719,-0.001381,0.000619,-0.004667,-0.001242,0.000495,0.004726,-0.016291,-0.017770,-0.008930,-0.013871
53,1000,1,0.022414,0.022041,nan,0.023823,-0.000207,0.005488,0.005683,0.009723,-0.002513,-0.000494,0.000599,0.004302,nan,-0.000257,0.005826,0.004575,-0.016295,-0.013455,-0.017182,-0.018672
54,1000,1,0.021576,0.012583,0.013103,0.015563,-0.000388,0.000138,-0.004545,nan,nan,0.006888,0.001219,0.002020,-0.001764,0.000454,0.000494,0.013196,-0.019952,-0.017612,-0.010717,-0.014281
55,1000,1,0.018522,0.018520,0.027129,0.018240,-0.000407,0.000474,nan,-0.005020,0.005900,-0.002315,-0.002031,-0.005422,0.002910,-0.000749,-0.003878,-0.002090,-0.014255,-0.029490,-0.018800,nan
56,1000,1,0.017447,0.018679,nan,nan,0.004431,-0.001241,-0.000194,-0.000083,0.000511,-0.000900,-0.004415,0.006409,0.012004,0.000843,-0.003238,0.006469,-0.023510,-0.023397,-0.016829,-0.019503
57,1000,1,nan,0.015334,0.013447,0.019570,-0.000422,-0.003188,-0.003321,-0.007686,0.003385,-0.006558,-0.000833,0.000988,0.005417,0.003622,-0.001681,nan,-0.021398,-0.022548,-0.021341,-0.013494
58,1000,1,0.015350,0.012368,0.012202,0.012969,-0.008685,nan,0.000620,-0.002755,-0.010449,-0.001138,-0.002114,-0.001155,-0.000823,-0.004789,-0.000638,0.005900,-0.016451,-0.020621,nan,-0.022151
59,1000,1,0.022351,0.016393,0.016763,0.014225,0.000874,-0.000214,-0.003419,0.001236,-0.004605,0.001037,0.001568,nan,-0.003220,0.006828,0.003240,0.000774,nan,-0.017706,-0.020724,-0.016185
60,1000,1,0.020038,0.023591,0.017074,nan,0.002385,0.000368,0.001802,0.002702,0.001925,0.001398,-0.003272,0.000242,nan,-0.002955,0.002855,0.002218,-0.011522,-0.013874,-0.019399,-0.020582
61,1000,1,0.014443,0.022058,0.013010,nan,-0.001326,0.002086,0.005721,-0.003837,-0.001796,0.000985,-0.004486,-0.000189,-0.001500,nan,-0.000289,0.001724,-0.019628,-0.018660,-0.020057,-0.018432
62,1000,1,0.013388,0.010611,0.022134,nan,0.003578,-0.001504,0.000547,-0.007187,0.006564,-0.002563,0.002049,-0.000416,-0.003492,0.004433,nan,0.000195,-0.016652,-0.020943,-0.012324,-0.021899
63,1000,1,0.018974,nan,0.030292,0.017353,-0.000533,-0.001992,-0.005730,-0.001923,-0.002436,-0.002069,-0.002097,0.003219,-0.002784,-0.002658,0.001092,-0.005298,nan,-0.014337,-0.016561,-0.019418
64,1000,1,0.018276,0.012631,0.016078,0.016745,0.000615,-0.000886,0.000678,nan,0.000242,-0.001653,0.004486,0.000655,-0.001271,-0.004996,0.005175,-0.003084,-0.012157,-0.016849,nan,-0.022268
65,1000,1,0.019161,0.019198,0.018365,0.013734,-0.000767,0.000648,0.000374,nan,0.006163,-0.000792,0.000451,-0.001966,0.004462,0.004268,-0.006277,nan,-0.006610,-0.025546,-0.018353,-0.007636
66,1000,1,nan,0.016791,0.017169,0.020236,-0.003436,-0.002625,0.004513,0.002439,-0.003970,0.002797,nan,0.003127,0.001542,-0.005647,-0.005045,-0.000367,-0.014298,-0.020758,-0.017576,-0.021854
67,1000,1,0.016270,nan,0.015113,0.021382,-0.000922,-0.004854,0.000176,0.002835,0.001212,0.003205,0.000973,-0.000093,nan,-0.004270,-0.001782,-0.001374,-0.012549,-0.026950,-0.023613,-0.013348
68,1000,1,0.015452,0.014512,0.016293,0.015775,0.000122,0.000950,0.000385,0.002038,0.001321,0.002345,0.001100,0.001694,-0.002443,nan,-0.003021,-0.000888,-0.014818,nan,-0.014974,-0.014880
69,1000,1,0.017097,0.018533,nan,0.020362,-0.003580,-0.002542,nan,-0.000214,-0.001363,0.000295,0.002839,-0.000491,0.000999,0.002164,-0.003012,0.001414,-0.020340,-0.011907,-0.026789,-0.021257
70,1000,1,0.018658,0.026164,0.016960,0.014912,-0.001153,-0.000803,0.003348,nan,-0.002330,-0.004277,0.002019,-0.000312,0.000817,nan,-0.002434,0.000212,-0.018221,-0.018691,-0.014911,-0.019360
71,1000,1,0.015270,0.014370,0.026857,0.020914,-0.004953,-0.002388,nan,nan,0.003964,0.000557,-0.000466,-0.004510,0.003944,0.000988,0.000671,0.003347,-0.015103,-0.018383,-0.018365,-0.021225
72,1000,1,0.016403,0.017812,0.018487,nan,nan,0.007728,-0.002430,0.008044,0.000414,-0.002725,-0.000997,-0.002559,0.004079,0.000205,-0.003876,0.002318,-0.015945,-0.015762,-0.015534,-0.019178
73,1000,1,0.015076,0.026354,nan,0.018002,-0.001241,0.002106,-0.002437,0.000711,nan,-0.001260,0.003941,-0.003668,-0.000212,-0.000873,-0.006314,-0.002711,-0.016088,-0.021389,-0.022796,-0.019123
74,1000,1,0.023326,0.020907,0.020374,0.016755,0.000161,-0.000154,-0.000306,nan,nan,-0.002004,-0.003831,-0.002527,-0.004679,-0.002404,0.000281,-0.001675,-0.014760,-0.020779,-0.022254,-0.009038
75,1000,1,0.021194,0.022628,0.014690,0.017848,0.002211,-0.001171,0.000084,nan,0.007572,0.002639,-0.001265,0.005727,0.004659,-0.001685,-0.000417,nan,-0.015782,-0.017816,-0.011800,-0.018620
76,1000,1,0.019987,0.011284,0.016654,0.016443,-0.002220,nan,-0.003333,-0.001244,-0.000979,-0.003059,0.000696,0.000632,0.001566,0.000131,0.004504,0.003123,nan,-0.015857,-0.015736,-0.015221
77,1000,1,0.013286,0.017134,0.017794,0.017307,0.003619,-0.004768,nan,-0.001133,-0.002651,0.000095,0.000295,-0.002429,0.003959,0.000082,0.000728,nan,-0.016342,-0.015831,-0.018653,-0.015058
78,1000,1,0.024825,0.024284,0.015293,0.014007,0.002611,0.000039,0.001466,-0.005863,nan,-0.001189,-0.001364,-0.006431,0.008752,0.000780,-0.002218,-0.000627,nan,-0.014395,-0.017260,-0.016131
79,1000,1,0.015292,0.018946,0.014418,0.019749,0.000157,0.001276,-0.000611,-0.002709,0.012200,0.000976,-0.001810,-0.005948,0.000330,0.000381,-0.000833,-0.000074,nan,-0.016231,nan,-0.022043
80,1000,1,0.011266,0.018128,nan,0.010811,0.002196,-0.000684,0.000769,-0.007044,0.000215,-0.001113,-0.002038,-0.001182,-0.000952,nan,-0.002243,-0.002663,-0.016855,-0.010157,-0.018451,-0.017530
81,1000,1,0.012447,0.015090,0.017571,0.017929,0.001906,0.002537,0.001254,-0.000688,-0.002403,0.000736,-0.002814,-0.000718,-0.001739,0.002144,nan,-0.000203,-0.011941,-0.019563,nan,-0.019917
82,1000,1,0.017570,0.019649,nan,0.021520,0.002034,nan,-0.004158,-0.000903,-0.008094,0.000136,-0.002376,0.000095,0.003782,-0.006958,0.001465,-0.002225,-0.017474,-0.011664,-0.016476,-0.016840
83,1000,1,0.025743,0.027511,0.009788,0.014496,-0.000437,-0.001979,0.003172,0.003630,-0.000724,nan,0.004233,-0.000790,-0.001585,0.001235,nan,0.001021,-0.013683,-0.022290,-0.013165,-0.013395
84,1000,1,0.014236,0.014146,0.018059,0.014249,0.000145,-0.000972,0.001676,-0.002490,-0.003747,0.000269,-0.002468,0.002414,-0.001351,-0.001133,nan,0.001412,-0.014077,-0.018999,-0.020177,nan
85,1000,1,0.018870,0.023664,0.003689,0.015434,0.004093,-0.003328,-0.003690,-0.004288,0.000615,-0.001300,nan,-0.005693,-0.001877,-0.003002,nan,-0.000743,-0.024263,-0.017933,-0.011728,-0.019852
86,1000,1,0.021496,0.023837,0.020665,0.012248,0.002895,nan,0.000447,-0.001454,0.008912,nan,-0.005480,0.002198,0.002296,0.000278,-0.002745,-0.001052,-0.014598,-0.009821,-0.019773,-0.015848
87,1000,1,nan,0.019691,0.019481,0.019786,-0.000590,-0.005464,0.002467,-0.002714,0.001100,0.002642,-0.003244,-0.001098,-0.002193,0.000531,0.002105,0.007120,nan,-0.016867,-0.022011,-0.019905
88,1000,1,0.018178,0.015483,0.019220,0.024314,0.000645,0.001511,-0.001905,nan,nan,0.005484,-0.003774,-0.002721,0.004117,-0.002789,0.001378,-0.002391,-0.023387,-0.016869,-0.017090,-0.020722
89,1000,1,0.021547,0.029252,0.007581,0.014601,-0.002674,-0.001472,0.005259,nan,0.000477,0.000440,0.000488,-0.004348,-0.003719,-0.005794,0.002446,nan,-0.019447,-0.012998,-0.014962,-0.014116
90,1000,1,nan,0.015326,0.016791,0.010607,0.000998,0.004295,-0.004196,0.000356,-0.001243,0.001798,-0.002215,-0.003210,0.002228,-0.002792,-0.001375,-0.000005,-0.014053,-0.015419,-0.019189,nan
91,1000,1,0.017624,0.011624,0.016051,0.015442,0.005157,-0.005369,-0.003044,-0.001747,-0.003616,0.001101,0.002152,0.001136,nan,-0.008217,0.003540,nan,-0.019432,-0.018692,-0.021611,-0.016119
92,1000,1,0.018818,0.018607,0.019691,0.017608,0.001865,-0.000196,-0.000991,0.002266,0.003174,0.003221,-0.000826,-0.000116,0.001451,nan,-0.001088,0.005640,-0.017709,nan,-0.013597,-0.019674
93,1000,1,0.012535,0.015432,0.018007,0.015405,0.002313,-0.000824,0.003432,nan,-0.003685,-0.003047,-0.001402,nan,0.000978,0.006888,-0.001258,-0.005156,-0.017702,-0.014870,-0.011038,-0.016956
94,1000,1,0.025109,0.013268,0.015062,0.018183,-0.003132,-0.000026,-0.006753,nan,0.004923,-0.002927,-0.000969,-0.004551,-0.003060,-0.000895,-0.006993,-0.001302,-0.017779,-0.022696,nan,-0.022466
95,1000,1,0.014173,0.020745,0.016491,0.022566,-0.005098,-0.001336,0.002591,-0.001078,0.001880,-0.002614,0.001515,-0.000018,nan,0.002429,nan,-0.001804,-0.016259,-0.012864,-0.020490,-0.022758
96,1000,1,0.028616,0.016966,0.023033,0.013413,0.004167,0.004261,-0.002061,-0.005327,-0.005260,-0.001227,-0.001495,-0.006646,0.005278,-0.012528,-0.002986,-0.006608,nan,nan,-0.016984,-0.016114
97,1000,1,0.012286,nan,0.015636,0.015759,-0.002954,-0.005121,0.001766,-0.000911,0.000260,nan,0.001603,0.006627,-0.000545,0.002493,-0.001306,0.002889,-0.025017,-0.017487,-0.017976,-0.012089
98,1000,1,0.020335,0.011858,0.018409,0.016176,-0.000212,-0.007422,nan,nan,-0.005084,0.003482,-0.003211,-0.001340,-0.000676,0.000779,0.000730,0.003745,-0.008546,-0.010704,-0.013243,-0.011580
99,1000,1,0.019963,0.018159,0.017475,0.019337,-0.008425,0.001541,-0.003504,0.000865,-0.003499,nan,nan,0.003639,-0.001754,0.000515,-0.001308,-0.001114,-0.021032,-0.023676,-0.015255,-0.025342
